id,name,glottocode,year,map_name_full
108,WESTERN FIJIAN Namosi-Naitasiri-Serua,namo1248,traditional,L019b_fiji
109,WESTERN FIJIAN Nuclear Western,west2519,traditional,L019b_fiji
110,BABUYAN,babu1242,traditional,L032_batan
111,ILOKANO,ilok1237,traditional,L032_batan
112,ITBAYATEN,ivat1242,traditional,L032_batan
113,IVATAN,ibat1238,traditional,L032_batan
114,A-PUCIKWAR,apuc1241,traditional,L037_andamans
115,AKA-BEA,akab1249,traditional,L037_andamans
116,AKA-BO,akab1248,traditional,L037_andamans
117,AKA-CARI,akac1240,traditional,L037_andamans
118,AKA-JERU,akaj1239,traditional,L037_andamans
119,AKA-KEDE,akak1252,traditional,L037_andamans
120,AKA-KOL,akak1253,traditional,L037_andamans
121,AKA-KORA,akak1251,traditional,L037_andamans
122,AKAR-BALE,akar1243,traditional,L037_andamans
123,JARAWA,jara1245,traditional,L037_andamans
124,OKO-JUWOI,okoj1239,traditional,L037_andamans
125,SENTINEL,sent1241,traditional,L037_andamans
126,NICOBARESE,nico1262,traditional,L037_nicobars
127,NICOBARESE Bompoka,bomp1241,traditional,L037_nicobars
128,NICOBARESE Car,carn1240,traditional,L037_nicobars
129,NICOBARESE Central,cent1990,traditional,L037_nicobars
130,NICOBARESE Chaura,chau1258,traditional,L037_nicobars
131,NICOBARESE Southern,sout2689,traditional,L037_nicobars
132,ONGE,onge1236,traditional,L037_nicobars
133,SHOM PENG,shom1245,traditional,L037_nicobars
134,MALAGASY Antaimoro,anta1259,traditional,L038_madagascar
135,MALAGASY Antaisaka,anta1261,traditional,L038_madagascar
136,MALAGASY Antambahoaka,anta1260,traditional,L038_madagascar
137,MALAGASY Antardroy 1,tand1256,traditional,L038_madagascar
138,MALAGASY Antardroy 2,tand1256,traditional,L038_madagascar
139,MALAGASY Bara,bara1369,traditional,L038_madagascar
140,MALAGASY Betsileo 1,bets1235,traditional,L038_madagascar
141,MALAGASY Betsileo 2,bets1235,traditional,L038_madagascar
142,MALAGASY Betsimaraka,sout2920,traditional,L038_madagascar
143,MALAGASY Maharaly,maha1309,traditional,L038_madagascar
144,MALAGASY Merina,meri1243,traditional,L038_madagascar
145,MALAGASY Sakalava,saka1291,traditional,L038_madagascar
146,MALAGASY Sihanaka,siha1244,traditional,L038_madagascar
147,MALAGASY Tankarana,anta1255,traditional,L038_madagascar
148,MALAGASY Tsimihetry,tsim1257,traditional,L038_madagascar
149,MALAGASY Vezo,vezo1235,traditional,L038_madagascar
150,MALAGASY Zalisere,tesa1236,traditional,L038_madagascar
151,ROTI Baä-Loleh Baä,baaa1237,traditional,L040b_roti
152,ROTI Baä-Loleh Loleh,lole1239,traditional,L040b_roti
153,ROTI Bilba-Diu-Lelenuk Bilba,nucl1537,traditional,L040b_roti
154,ROTI Bilba-Diu-Lelenuk Diu,diuu1237,traditional,L040b_roti
155,ROTI Bilba-Diu-Lelenuk Lelenuk,lele1271,traditional,L040b_roti
