ANUTA,anut1237
ASUMBOA,asum1237
BUMA (TEANU),tean1237
NANGGU,nang1262
NEMBAO,nemb1239
PILENI East,pile1238
PILENI West,pile1238
SANTA CRUZ,reef1242
TANIMA (TETAU),tane1237
TANIMBILI,tani1255
TIKOPIA,tiko1237
VANO,vano1237
ÄIWO,ayiw1239
