ANEITYUM,anei1239
FUTUNA-ANIWA Aniwa,aniw1237
FUTUNA-ANIWA Futuna,west2515
HIW,hiww1237
KORO,koro1308
KWAMERA,kwam1252
LAKONA,lako1245
LEHALI,leha1243
LEHALURUP,leha1244
LENAKEL,lena1238
LOH,loto1240
MERLAV,merl1237
MOSINA,vure1239
MOTA,mota1237
MOTLAV,motl1238
NORTH TANNA,nort2847
NUME,nume1241
SIE,siee1239
Southwest TANNA,sout2869
URA,urav1235
VATRATA,vera1241
WETAMUT,weta1242
WHITESANDS,whit1269
