East YELE,yele1255
KEHELALA (TAVARA),kehe1241
KILIVILA,kili1267
MISIMA,misi1243
MUYUW,muyu1244
NIMOWA,nimo1246
SUD-EST,sude1239
TUBETUBE,bwan1241
West YELE,yele1255
