ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
115,KAMAYO,,,,kama1363,traditional,wurm1981pacific,features,feature,map_1
116,RAJAH,,,,raja1254,traditional,wurm1981pacific,features,feature,map_1
117,DAVAWENO1,,,,dava1245,traditional,wurm1981pacific,features,feature,map_1
118,SARANGANI MANOBO,,,,sara1327,traditional,wurm1981pacific,features,feature,map_1
119,MANDAYA,,,,kara1489,traditional,wurm1981pacific,features,feature,map_1
120,BLAAN,,,,blaa1241,traditional,wurm1981pacific,features,feature,map_1
121,TAGAKAULU,,,,taga1268,traditional,wurm1981pacific,features,feature,map_1
124,TBOLI,,,,tbol1240,traditional,wurm1981pacific,features,feature,map_1
125,COTABATO MANOBO,,,,cota1241,traditional,wurm1981pacific,features,feature,map_1
127,CHAVACANO,,,,chav1241,traditional,wurm1981pacific,features,feature,map_1
128,KALAGAN,,,,kala1388,traditional,wurm1981pacific,features,feature,map_1
130,KALIBUGAN,,,,koli1253,traditional,wurm1981pacific,features,feature,map_1
131,SUBANUN,,,,lapu1236,traditional,wurm1981pacific,features,feature,map_1
132,MARANAO,,,,mara1404,traditional,wurm1981pacific,features,feature,map_1
134,TAGABAWA,,,,taga1272,traditional,wurm1981pacific,features,feature,map_1
135,BAGOBO,,,,gian1241,traditional,wurm1981pacific,features,feature,map_1
138,HILIGAYNON(ILONGGO),,,,hili1240,traditional,wurm1981pacific,features,feature,map_1
139,CEBUANO,,,,cebu1242,traditional,wurm1981pacific,features,feature,map_1
140,MAGINDANAO,,,,magu1243,traditional,wurm1981pacific,features,feature,map_1
141,ILANUN,,,,iran1262,traditional,wurm1981pacific,features,feature,map_1
143,OBO MANOBO,,,,obom1235,traditional,wurm1981pacific,features,feature,map_1
144,ILIANEN MANOBO,,,,ilia1236,traditional,wurm1981pacific,features,feature,map_1
145,BUTUANON,,,,butu1244,traditional,wurm1981pacific,features,feature,map_1
146,MAMANWA,,,,mama1275,traditional,wurm1981pacific,features,feature,map_1
147,BINUKID,,,,binu1244,traditional,wurm1981pacific,features,feature,map_1
149,AGUSAN MANOBO,,,,agus1235,traditional,wurm1981pacific,features,feature,map_1
154,ATA MANOBO,,,,atam1240,traditional,wurm1981pacific,features,feature,map_1
155,DIBABAWON,,,,diba1242,traditional,wurm1981pacific,features,feature,map_1
156,TIGWA MANOBO,,,,tigw1237,traditional,wurm1981pacific,features,feature,map_1
157,SAMAR-LEYTE(L-complex?),,,,sama1301,traditional,wurm1981pacific,features,feature,map_1
164,BANTON_Dispohol,,,,bant1288,traditional,wurm1981pacific,features,feature,map_1
165,ROMBLON_Dispohol,,,,romb1246,traditional,wurm1981pacific,features,feature,map_1
166,IRAYA,,,,iray1237,traditional,wurm1981pacific,features,feature,map_1
168,HANUNOO,,,,hanu1241,traditional,wurm1981pacific,features,feature,map_1
169,Bulalakao,,,,bula1256,traditional,wurm1981pacific,features,feature,map_1
170,TADYAWAN,,,,tady1237,traditional,wurm1981pacific,features,feature,map_1
171,BUHID,,,,buhi1245,traditional,wurm1981pacific,features,feature,map_1
172,BATANGAN,,,,bata1318,traditional,wurm1981pacific,features,feature,map_1
173,ALANGAN,,,,alan1249,traditional,wurm1981pacific,features,feature,map_1
174,HILIGAYNON,,,,hili1240,traditional,wurm1981pacific,features,feature,map_1
175,AKLANON,,,,akla1240,traditional,wurm1981pacific,features,feature,map_1
176,ROMBLON,,,,romb1246,traditional,wurm1981pacific,features,feature,map_1
178,TSOU_SAAROA,,,,saar1237,traditional,wurm1981pacific,features,feature,map_1
179,TSOU_KANAKANABU,,,,kana1286,traditional,wurm1981pacific,features,feature,map_1
180,SIRAYA_Makatao,,,,maka1313,traditional,wurm1981pacific,features,feature,map_1
181,SIRAYA_Lamai,,,,lama1281,traditional,wurm1981pacific,features,feature,map_1
183,YAMI,,,,yami1254,traditional,wurm1981pacific,features,feature,map_1
186,TIRURAY,,,,tiru1241,traditional,wurm1981pacific,features,feature,map_1
187,YAKAN,,,,yaka1277,traditional,wurm1981pacific,features,feature,map_1
188,SAMA SIBUGUEY,,,,sibu1253,traditional,wurm1981pacific,features,feature,map_1
190,KINAMIGIN,,,,cina1236,traditional,wurm1981pacific,features,feature,map_1
191,SURIGAONON,,,,suri1273,traditional,wurm1981pacific,features,feature,map_1
201,RINCONADA BIKOL,,,,irig1242,traditional,wurm1981pacific,features,feature,map_1
205,KALAMIANON,,,,cala1258,traditional,wurm1981pacific,features,feature,map_1
211,WEST BUKIDNON MANOBO,,,,pula1266,traditional,wurm1981pacific,features,feature,map_1
214,WEST BANTON_Looc-Alcantara,,,,alca1237,traditional,wurm1981pacific,features,feature,map_1
216,ATTA,,,,atta1244,traditional,wurm1981pacific,features,feature,map_1
218,PARANAN,,,,para1306,traditional,wurm1981pacific,features,feature,map_1
