Austronesian,aust1307
MANGAREVA,mang1401
PA'UMOTU,tuam1242
PA'UMOTU Fangatau,fang1249
PA'UMOTU Marangi,mara1400
PA'UMOTU Mihiroa,tuam1242
PA'UMOTU Napuka,napu1240
PA'UMOTU Parata,para1305
PA'UMOTU Reao,reao1237
PA'UMOTU Tapuhoe,tapu1238
PA'UMOTU Vahitu,vahi1237
RAPA,rapa1245
TAHITIAN,tahi1242
TAHITIAN (Mehetia),tahi1242
TAHITIAN (Tapuaemanu),tahi1242
